"CASEID","ALTER1","ALTER2","WEIGHT"
19850345,1,2,2
19850345,1,3,2
19850345,1,4,2
19850345,1,5,2
19850345,2,3,2
19850345,2,4,2
19850345,2,5,2
19850345,3,4,2
19850345,3,5,2
19850345,4,5,2
19850346,1,2,1
19850346,1,3,1
19850347,1,2,1
19850347,1,3,1
19850347,1,4,1
19850347,2,3,1
19850347,2,4,1
19850347,3,4,2
19850348,1,2,1
19850348,1,3,2
19850348,1,4,2
19850348,1,5,2
19850348,2,3,1
19850348,3,4,2
19850348,3,5,2
19850348,4,5,2
19850352,1,2,1
19850353,1,2,1
19850354,1,2,1
19850354,1,3,1
19850354,2,3,1
19850355,1,2,1
19850355,1,3,1
19850355,1,4,1
19850355,1,5,1
19850355,2,3,2
19850355,2,4,2
19850355,2,5,2
19850355,3,4,2
19850355,3,5,2
19850355,4,5,2
19850356,1,2,1
19850356,1,3,2
19850356,1,4,2
19850356,1,5,2
19850356,2,3,1
19850356,2,4,1
19850356,2,5,1
19850356,3,4,2
19850356,3,5,2
19850356,4,5,2
19850357,1,2,2
19850358,1,2,1
19850358,1,3,1
19850358,1,4,2
19850358,1,5,2
19850358,2,3,2
19850358,2,4,1
19850358,2,5,1
19850358,3,4,1
19850358,3,5,1
19850358,4,5,2
19850359,1,2,1
19850359,1,3,2
19850359,1,4,2
19850359,1,5,1
19850359,2,3,1
19850359,2,4,1
19850359,2,5,1
19850359,3,4,2
19850359,3,5,1
19850359,4,5,2
19850361,1,3,1
19850361,2,3,2
19850361,2,4,2
19850361,3,4,2
19850363,1,2,2
19850363,1,3,2
19850363,1,4,2
19850363,1,5,2
19850363,2,3,1
19850363,2,4,1
19850363,2,5,2
19850363,3,4,1
19850363,3,5,1
19850363,4,5,2
19850364,1,2,2
19850364,1,3,2
19850364,1,4,2
19850364,1,5,2
19850364,2,3,2
19850364,2,4,2
19850364,2,5,2
19850364,3,4,2
19850364,3,5,2
19850364,4,5,2
19850365,1,2,2
19850365,1,3,2
19850365,1,4,1
19850365,2,3,2
19850365,2,4,2
19850365,3,4,2
19850367,1,2,2
19850367,1,4,1
19850367,2,3,1
19850367,2,4,1
19850367,3,4,2
19850368,1,3,2
19850368,2,4,2
19850368,2,5,2
19850368,4,5,2
19850369,1,2,1
19850369,1,3,2
19850369,2,3,2
19850370,1,2,2
19850370,1,3,2
19850370,1,4,2
19850370,2,3,2
19850370,2,4,2
19850370,3,4,2
19850371,1,2,2
19850371,1,3,2
19850371,1,4,2
19850371,1,5,2
19850371,2,3,2
19850371,2,4,1
19850371,2,5,1
19850371,3,4,2
19850371,3,5,2
19850371,4,5,2
19850372,1,2,1
19850372,1,3,1
19850372,1,4,2
19850372,2,3,1
19850372,2,4,1
19850372,3,4,1
19850373,1,2,1
19850374,1,2,2
19850374,1,3,1
19850374,1,4,1
19850374,2,3,2
19850374,2,4,1
19850374,3,4,2
19850375,1,2,1
19850375,1,3,1
19850375,2,3,1
19850379,1,2,2
19850380,1,2,1
19850380,3,4,2
19850381,1,2,1
19850381,1,3,2
19850381,1,4,2
19850381,1,5,2
19850381,2,3,2
19850381,2,4,2
19850381,2,5,2
19850381,3,4,2
19850381,3,5,2
19850381,4,5,2
19850382,1,2,2
19850383,1,2,2
19850383,1,3,2
19850383,1,4,2
19850383,2,3,2
19850383,2,4,2
19850383,3,4,2
19850384,1,2,2
19850384,1,3,2
19850384,1,5,2
19850384,2,5,2
19850384,4,5,2
19850385,1,2,2
19850385,1,3,1
19850385,1,4,2
19850386,1,2,2
19850388,1,2,2
19850388,1,3,2
19850388,1,4,2
19850388,2,3,2
19850388,2,4,2
19850388,3,4,2
19850389,1,2,1
19850389,1,3,1
